id,emotion,visual,space,tags,caption
50,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
51,lively,bright,spacious,"lively, bright, spacious","lively and energetic vibe, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
52,lively,dark,private,"lively, dark, private","vibrant party atmosphere, dim moody atmospheric lighting, intimate enclosed setting, home party interior, indoor gathering space"
53,lively,cool,compact,"lively, cool, compact","vibrant party atmosphere, icy blue-white ambiance, enclosed snug setting, home party interior, indoor gathering space"
54,lively,bright,compact,"lively, bright, compact","lively and energetic vibe, clear high-key lighting, small intimate area, home party interior, indoor gathering space"
55,lively,warm,private,"lively, warm, private","upbeat celebratory setting, warm golden lighting, private secluded party room, home party interior, indoor gathering space"
56,lively,warm,spacious,"lively, warm, spacious","dynamic and festive energy, amber and orange warm tones, spacious open layout, home party interior, indoor gathering space"
57,lively,bright,spacious,"lively, bright, spacious","lively and energetic vibe, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
58,lively,bright,private,"lively, bright, private","lively and energetic vibe, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
59,lively,cool,compact,"lively, cool, compact","upbeat celebratory setting, cool-toned blue lighting, enclosed snug setting, home party interior, indoor gathering space"
60,lively,bright,compact,"lively, bright, compact","vibrant party atmosphere, bright and well-lit space, enclosed snug setting, home party interior, indoor gathering space"
61,lively,bright,private,"lively, bright, private","upbeat celebratory setting, clear high-key lighting, private secluded party room, home party interior, indoor gathering space"
62,lively,bright,compact,"lively, bright, compact","dynamic and festive energy, clear high-key lighting, enclosed snug setting, home party interior, indoor gathering space"
63,lively,bright,private,"lively, bright, private","upbeat celebratory setting, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
64,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
65,lively,bright,spacious,"lively, bright, spacious","upbeat celebratory setting, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
66,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, airy luminous interior, wide open party space, home party interior, indoor gathering space"
67,lively,bright,spacious,"lively, bright, spacious","upbeat celebratory setting, bright and well-lit space, spacious open layout, home party interior, indoor gathering space"
68,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
69,cozy,cool,private,"cozy, cool, private","cozy atmosphere, icy blue-white ambiance, exclusive private interior, home party interior, indoor gathering space"
70,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, clear high-key lighting, private secluded party room, home party interior, indoor gathering space"
71,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, warm golden lighting, wide open party space, home party interior, indoor gathering space"
72,chic,dark,private,"chic, dark, private","chic and stylish aesthetic, dim moody atmospheric lighting, private secluded party room, home party interior, indoor gathering space"
73,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
74,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, airy luminous interior, wide open party space, home party interior, indoor gathering space"
75,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
76,cozy,bright,spacious,"cozy, bright, spacious","warm and inviting ambiance, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
77,cozy,cool,private,"cozy, cool, private","snug and relaxed interior, cool-toned blue lighting, intimate enclosed setting, home party interior, indoor gathering space"
78,cozy,warm,private,"cozy, warm, private","snug and relaxed interior, warm golden lighting, private secluded party room, home party interior, indoor gathering space"
79,chic,cool,private,"chic, cool, private","chic and stylish aesthetic, icy blue-white ambiance, intimate enclosed setting, home party interior, indoor gathering space"
80,cozy,bright,compact,"cozy, bright, compact","comfortable homey feel, airy luminous interior, small intimate area, home party interior, indoor gathering space"
81,cozy,dark,compact,"cozy, dark, compact","snug and relaxed interior, shadowy intimate lighting, compact cozy gathering space, home party interior, indoor gathering space"
82,cozy,dark,compact,"cozy, dark, compact","cozy atmosphere, dim moody atmospheric lighting, small intimate area, home party interior, indoor gathering space"
83,lively,dark,compact,"lively, dark, compact","dynamic and festive energy, dim moody atmospheric lighting, compact cozy gathering space, home party interior, indoor gathering space"
84,lively,dark,compact,"lively, dark, compact","vibrant party atmosphere, dim moody atmospheric lighting, enclosed snug setting, home party interior, indoor gathering space"
85,cozy,dark,spacious,"cozy, dark, spacious","snug and relaxed interior, dim moody atmospheric lighting, expansive roomy interior, home party interior, indoor gathering space"
86,cozy,dark,private,"cozy, dark, private","warm and inviting ambiance, dark low-key ambiance, intimate enclosed setting, home party interior, indoor gathering space"
87,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
88,lively,bright,spacious,"lively, bright, spacious","lively and energetic vibe, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
89,lively,bright,compact,"lively, bright, compact","lively and energetic vibe, bright and well-lit space, compact cozy gathering space, home party interior, indoor gathering space"
90,cozy,bright,compact,"cozy, bright, compact","warm and inviting ambiance, airy luminous interior, small intimate area, home party interior, indoor gathering space"
91,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, warm golden lighting, expansive roomy interior, home party interior, indoor gathering space"
92,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
93,cozy,warm,compact,"cozy, warm, compact","cozy atmosphere, amber and orange warm tones, small intimate area, home party interior, indoor gathering space"
94,cozy,cool,private,"cozy, cool, private","snug and relaxed interior, crisp cool color palette, intimate enclosed setting, home party interior, indoor gathering space"
95,cozy,dark,compact,"cozy, dark, compact","snug and relaxed interior, dim moody atmospheric lighting, compact cozy gathering space, home party interior, indoor gathering space"
96,cozy,cool,private,"cozy, cool, private","comfortable homey feel, cool-toned blue lighting, private secluded party room, home party interior, indoor gathering space"
97,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, soft warm-toned glow, expansive roomy interior, home party interior, indoor gathering space"
98,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, warm golden lighting, wide open party space, home party interior, indoor gathering space"
99,cozy,warm,compact,"cozy, warm, compact","snug and relaxed interior, soft warm-toned glow, enclosed snug setting, home party interior, indoor gathering space"
100,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
101,chic,cool,private,"chic, cool, private","chic and stylish aesthetic, cool-toned blue lighting, private secluded party room, home party interior, indoor gathering space"
102,cozy,bright,compact,"cozy, bright, compact","cozy atmosphere, clear high-key lighting, compact cozy gathering space, home party interior, indoor gathering space"
103,lively,warm,spacious,"lively, warm, spacious","upbeat celebratory setting, warm golden lighting, wide open party space, home party interior, indoor gathering space"
104,chic,bright,compact,"chic, bright, compact","sophisticated and elegant design, clear high-key lighting, enclosed snug setting, home party interior, indoor gathering space"
105,lively,warm,spacious,"lively, warm, spacious","lively and energetic vibe, soft warm-toned glow, spacious open layout, home party interior, indoor gathering space"
106,chic,dark,spacious,"chic, dark, spacious","sleek upscale interior, shadowy intimate lighting, wide open party space, home party interior, indoor gathering space"
107,cozy,warm,compact,"cozy, warm, compact","comfortable homey feel, amber and orange warm tones, compact cozy gathering space, home party interior, indoor gathering space"
108,cozy,warm,compact,"cozy, warm, compact","comfortable homey feel, warm golden lighting, small intimate area, home party interior, indoor gathering space"
109,chic,cool,private,"chic, cool, private","sleek upscale interior, cool-toned blue lighting, exclusive private interior, home party interior, indoor gathering space"
110,chic,dark,private,"chic, dark, private","refined modern atmosphere, dark low-key ambiance, intimate enclosed setting, home party interior, indoor gathering space"
111,chic,cool,spacious,"chic, cool, spacious","chic and stylish aesthetic, cool-toned blue lighting, expansive roomy interior, home party interior, indoor gathering space"
112,cozy,dark,private,"cozy, dark, private","cozy atmosphere, dim moody atmospheric lighting, exclusive private interior, home party interior, indoor gathering space"
113,chic,dark,private,"chic, dark, private","sophisticated and elegant design, shadowy intimate lighting, intimate enclosed setting, home party interior, indoor gathering space"
114,chic,warm,compact,"chic, warm, compact","sophisticated and elegant design, amber and orange warm tones, compact cozy gathering space, home party interior, indoor gathering space"
115,cozy,cool,private,"cozy, cool, private","warm and inviting ambiance, crisp cool color palette, intimate enclosed setting, home party interior, indoor gathering space"
116,chic,cool,private,"chic, cool, private","sophisticated and elegant design, crisp cool color palette, exclusive private interior, home party interior, indoor gathering space"
117,cozy,warm,compact,"cozy, warm, compact","comfortable homey feel, soft warm-toned glow, enclosed snug setting, home party interior, indoor gathering space"
118,chic,dark,compact,"chic, dark, compact","chic and stylish aesthetic, shadowy intimate lighting, enclosed snug setting, home party interior, indoor gathering space"
119,chic,bright,private,"chic, bright, private","refined modern atmosphere, clear high-key lighting, private secluded party room, home party interior, indoor gathering space"
120,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
121,lively,bright,compact,"lively, bright, compact","lively and energetic vibe, clear high-key lighting, enclosed snug setting, home party interior, indoor gathering space"
122,cozy,cool,compact,"cozy, cool, compact","warm and inviting ambiance, crisp cool color palette, small intimate area, home party interior, indoor gathering space"
123,cozy,warm,compact,"cozy, warm, compact","warm and inviting ambiance, soft warm-toned glow, small intimate area, home party interior, indoor gathering space"
124,cozy,warm,compact,"cozy, warm, compact","warm and inviting ambiance, soft warm-toned glow, enclosed snug setting, home party interior, indoor gathering space"
125,lively,cool,spacious,"lively, cool, spacious","dynamic and festive energy, icy blue-white ambiance, expansive roomy interior, home party interior, indoor gathering space"
126,chic,dark,private,"chic, dark, private","refined modern atmosphere, dim moody atmospheric lighting, private secluded party room, home party interior, indoor gathering space"
127,cozy,warm,private,"cozy, warm, private","snug and relaxed interior, amber and orange warm tones, private secluded party room, home party interior, indoor gathering space"
128,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, amber and orange warm tones, spacious open layout, home party interior, indoor gathering space"
129,cozy,cool,compact,"cozy, cool, compact","comfortable homey feel, cool-toned blue lighting, enclosed snug setting, home party interior, indoor gathering space"
130,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, soft warm-toned glow, wide open party space, home party interior, indoor gathering space"
131,chic,dark,private,"chic, dark, private","sleek upscale interior, shadowy intimate lighting, private secluded party room, home party interior, indoor gathering space"
132,cozy,warm,private,"cozy, warm, private","cozy atmosphere, warm golden lighting, exclusive private interior, home party interior, indoor gathering space"
133,cozy,warm,private,"cozy, warm, private","warm and inviting ambiance, soft warm-toned glow, private secluded party room, home party interior, indoor gathering space"
134,lively,cool,compact,"lively, cool, compact","dynamic and festive energy, icy blue-white ambiance, enclosed snug setting, home party interior, indoor gathering space"
135,chic,bright,private,"chic, bright, private","sophisticated and elegant design, airy luminous interior, private secluded party room, home party interior, indoor gathering space"
136,cozy,warm,compact,"cozy, warm, compact","cozy atmosphere, amber and orange warm tones, small intimate area, home party interior, indoor gathering space"
137,lively,bright,compact,"lively, bright, compact","lively and energetic vibe, airy luminous interior, compact cozy gathering space, home party interior, indoor gathering space"
138,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, clear high-key lighting, private secluded party room, home party interior, indoor gathering space"
139,lively,bright,compact,"lively, bright, compact","dynamic and festive energy, clear high-key lighting, small intimate area, home party interior, indoor gathering space"
140,cozy,bright,compact,"cozy, bright, compact","warm and inviting ambiance, bright and well-lit space, compact cozy gathering space, home party interior, indoor gathering space"
141,cozy,cool,private,"cozy, cool, private","warm and inviting ambiance, crisp cool color palette, private secluded party room, home party interior, indoor gathering space"
142,cozy,bright,private,"cozy, bright, private","warm and inviting ambiance, clear high-key lighting, intimate enclosed setting, home party interior, indoor gathering space"
143,lively,dark,compact,"lively, dark, compact","upbeat celebratory setting, shadowy intimate lighting, enclosed snug setting, home party interior, indoor gathering space"
144,lively,cool,compact,"lively, cool, compact","vibrant party atmosphere, crisp cool color palette, compact cozy gathering space, home party interior, indoor gathering space"
145,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, amber and orange warm tones, spacious open layout, home party interior, indoor gathering space"
146,cozy,dark,compact,"cozy, dark, compact","snug and relaxed interior, dim moody atmospheric lighting, compact cozy gathering space, home party interior, indoor gathering space"
147,cozy,cool,compact,"cozy, cool, compact","snug and relaxed interior, crisp cool color palette, small intimate area, home party interior, indoor gathering space"
148,cozy,bright,compact,"cozy, bright, compact","warm and inviting ambiance, bright and well-lit space, compact cozy gathering space, home party interior, indoor gathering space"
149,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
150,lively,bright,private,"lively, bright, private","dynamic and festive energy, bright and well-lit space, intimate enclosed setting, home party interior, indoor gathering space"
151,cozy,cool,private,"cozy, cool, private","comfortable homey feel, icy blue-white ambiance, exclusive private interior, home party interior, indoor gathering space"
152,cozy,cool,compact,"cozy, cool, compact","snug and relaxed interior, icy blue-white ambiance, enclosed snug setting, home party interior, indoor gathering space"
153,cozy,bright,spacious,"cozy, bright, spacious","comfortable homey feel, bright and well-lit space, spacious open layout, home party interior, indoor gathering space"
154,lively,bright,compact,"lively, bright, compact","dynamic and festive energy, bright and well-lit space, enclosed snug setting, home party interior, indoor gathering space"
155,chic,cool,compact,"chic, cool, compact","refined modern atmosphere, cool-toned blue lighting, compact cozy gathering space, home party interior, indoor gathering space"
156,chic,dark,private,"chic, dark, private","sleek upscale interior, dark low-key ambiance, exclusive private interior, home party interior, indoor gathering space"
157,chic,bright,private,"chic, bright, private","refined modern atmosphere, airy luminous interior, exclusive private interior, home party interior, indoor gathering space"
158,cozy,bright,spacious,"cozy, bright, spacious","cozy atmosphere, airy luminous interior, wide open party space, home party interior, indoor gathering space"
159,cozy,bright,compact,"cozy, bright, compact","warm and inviting ambiance, airy luminous interior, compact cozy gathering space, home party interior, indoor gathering space"
160,cozy,bright,compact,"cozy, bright, compact","snug and relaxed interior, bright and well-lit space, enclosed snug setting, home party interior, indoor gathering space"
161,cozy,warm,private,"cozy, warm, private","warm and inviting ambiance, amber and orange warm tones, intimate enclosed setting, home party interior, indoor gathering space"
162,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
163,cozy,bright,private,"cozy, bright, private","comfortable homey feel, clear high-key lighting, private secluded party room, home party interior, indoor gathering space"
164,chic,cool,private,"chic, cool, private","refined modern atmosphere, icy blue-white ambiance, intimate enclosed setting, home party interior, indoor gathering space"
165,chic,cool,spacious,"chic, cool, spacious","sleek upscale interior, crisp cool color palette, expansive roomy interior, home party interior, indoor gathering space"
166,cozy,warm,private,"cozy, warm, private","comfortable homey feel, soft warm-toned glow, private secluded party room, home party interior, indoor gathering space"
167,chic,cool,spacious,"chic, cool, spacious","sophisticated and elegant design, crisp cool color palette, wide open party space, home party interior, indoor gathering space"
168,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
169,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, clear high-key lighting, wide open party space, home party interior, indoor gathering space"
170,cozy,warm,private,"cozy, warm, private","comfortable homey feel, amber and orange warm tones, exclusive private interior, home party interior, indoor gathering space"
171,chic,warm,private,"chic, warm, private","chic and stylish aesthetic, amber and orange warm tones, intimate enclosed setting, home party interior, indoor gathering space"
172,cozy,cool,spacious,"cozy, cool, spacious","warm and inviting ambiance, crisp cool color palette, wide open party space, home party interior, indoor gathering space"
173,chic,bright,spacious,"chic, bright, spacious","refined modern atmosphere, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
174,cozy,cool,spacious,"cozy, cool, spacious","snug and relaxed interior, icy blue-white ambiance, spacious open layout, home party interior, indoor gathering space"
175,cozy,cool,spacious,"cozy, cool, spacious","snug and relaxed interior, icy blue-white ambiance, spacious open layout, home party interior, indoor gathering space"
176,chic,cool,spacious,"chic, cool, spacious","chic and stylish aesthetic, crisp cool color palette, wide open party space, home party interior, indoor gathering space"
177,chic,dark,private,"chic, dark, private","refined modern atmosphere, dim moody atmospheric lighting, private secluded party room, home party interior, indoor gathering space"
178,cozy,cool,private,"cozy, cool, private","comfortable homey feel, cool-toned blue lighting, private secluded party room, home party interior, indoor gathering space"
179,chic,cool,private,"chic, cool, private","sophisticated and elegant design, cool-toned blue lighting, private secluded party room, home party interior, indoor gathering space"
180,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, airy luminous interior, wide open party space, home party interior, indoor gathering space"
181,cozy,cool,compact,"cozy, cool, compact","cozy atmosphere, crisp cool color palette, small intimate area, home party interior, indoor gathering space"
182,cozy,cool,private,"cozy, cool, private","warm and inviting ambiance, icy blue-white ambiance, exclusive private interior, home party interior, indoor gathering space"
183,chic,bright,spacious,"chic, bright, spacious","sleek upscale interior, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
184,chic,cool,spacious,"chic, cool, spacious","sophisticated and elegant design, cool-toned blue lighting, wide open party space, home party interior, indoor gathering space"
185,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
186,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, bright and well-lit space, wide open party space, home party interior, indoor gathering space"
187,cozy,bright,private,"cozy, bright, private","snug and relaxed interior, bright and well-lit space, exclusive private interior, home party interior, indoor gathering space"
188,chic,dark,spacious,"chic, dark, spacious","sophisticated and elegant design, dim moody atmospheric lighting, expansive roomy interior, home party interior, indoor gathering space"
189,chic,cool,spacious,"chic, cool, spacious","sophisticated and elegant design, crisp cool color palette, wide open party space, home party interior, indoor gathering space"
190,cozy,cool,private,"cozy, cool, private","comfortable homey feel, crisp cool color palette, exclusive private interior, home party interior, indoor gathering space"
191,chic,dark,spacious,"chic, dark, spacious","sleek upscale interior, shadowy intimate lighting, expansive roomy interior, home party interior, indoor gathering space"
192,cozy,cool,spacious,"cozy, cool, spacious","warm and inviting ambiance, icy blue-white ambiance, expansive roomy interior, home party interior, indoor gathering space"
193,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
194,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
195,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
196,cozy,warm,spacious,"cozy, warm, spacious","cozy atmosphere, soft warm-toned glow, expansive roomy interior, home party interior, indoor gathering space"
197,cozy,cool,private,"cozy, cool, private","warm and inviting ambiance, crisp cool color palette, intimate enclosed setting, home party interior, indoor gathering space"
198,lively,warm,spacious,"lively, warm, spacious","dynamic and festive energy, soft warm-toned glow, spacious open layout, home party interior, indoor gathering space"
199,lively,bright,spacious,"lively, bright, spacious","vibrant party atmosphere, bright and well-lit space, spacious open layout, home party interior, indoor gathering space"
200,chic,cool,spacious,"chic, cool, spacious","sleek upscale interior, icy blue-white ambiance, spacious open layout, home party interior, indoor gathering space"
201,chic,bright,spacious,"chic, bright, spacious","sophisticated and elegant design, bright and well-lit space, expansive roomy interior, home party interior, indoor gathering space"
202,cozy,warm,spacious,"cozy, warm, spacious","snug and relaxed interior, amber and orange warm tones, wide open party space, home party interior, indoor gathering space"
203,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
204,lively,warm,spacious,"lively, warm, spacious","vibrant party atmosphere, amber and orange warm tones, expansive roomy interior, home party interior, indoor gathering space"
205,cozy,bright,spacious,"cozy, bright, spacious","cozy atmosphere, clear high-key lighting, expansive roomy interior, home party interior, indoor gathering space"
206,lively,cool,spacious,"lively, cool, spacious","upbeat celebratory setting, cool-toned blue lighting, expansive roomy interior, home party interior, indoor gathering space"
207,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
208,chic,cool,spacious,"chic, cool, spacious","sophisticated and elegant design, crisp cool color palette, spacious open layout, home party interior, indoor gathering space"
209,lively,bright,spacious,"lively, bright, spacious","dynamic and festive energy, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
210,chic,bright,spacious,"chic, bright, spacious","chic and stylish aesthetic, airy luminous interior, expansive roomy interior, home party interior, indoor gathering space"
211,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, clear high-key lighting, spacious open layout, home party interior, indoor gathering space"
212,lively,warm,spacious,"lively, warm, spacious","upbeat celebratory setting, warm golden lighting, wide open party space, home party interior, indoor gathering space"
213,lively,dark,spacious,"lively, dark, spacious","lively and energetic vibe, dark low-key ambiance, wide open party space, home party interior, indoor gathering space"
214,cozy,dark,private,"cozy, dark, private","cozy atmosphere, dim moody atmospheric lighting, exclusive private interior, home party interior, indoor gathering space"
215,lively,warm,spacious,"lively, warm, spacious","upbeat celebratory setting, warm golden lighting, expansive roomy interior, home party interior, indoor gathering space"
216,chic,warm,private,"chic, warm, private","sophisticated and elegant design, warm golden lighting, intimate enclosed setting, home party interior, indoor gathering space"
217,cozy,bright,spacious,"cozy, bright, spacious","snug and relaxed interior, airy luminous interior, spacious open layout, home party interior, indoor gathering space"
