cocktail_id,name_kr,name_en,category,is_non_alcoholic,sweet_level,sour_level,bitter_level,body_level,freshness_level,creamy_level,spicy_level,nutty_level,mood_tag,description,embedding,is_active,created_at
12,모히토,Mojito,리프레싱 하이볼,FALSE,2.4,2.7,0,1.3,4,0,0,0,lively|bright|spacious,"모히토는 민트의 냉감와 라임의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
13,미셔너리즈 다운폴,Missionarys Downfall,티키/트로피컬,FALSE,3.3,2.7,0,1.8,3.2,0,0,0,social|cool|casual,"미셔너리즈 다운폴은 민트의 냉감와 꿀의 둥근 단맛이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
14,정글 버드,Jungle Bird,티키/트로피컬,FALSE,3.4,2.7,2.6,2.3,3,0,0,0,relaxing|dark|modern,"정글 버드는 파인애플의 과일감와 비터한 쌉쌀함이 먼저 기억에 남는 티키/트로피컬 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 비터한 결이 구조를 세워주고 끝에는 쌉쌀한 여운이 분명하게 남는다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 시끄러운 자리보다는 조도를 낮춘 바에서 천천히 마실수록 매력이 살아난다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
15,좀비,Zombie,티키/트로피컬,FALSE,2.5,2.6,2.1,1.9,2.6,0,0.6,0.6,social|cool|casual,"좀비는 라임의 산미와 향신료의 따뜻한 느낌을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 비터한 결이 구조를 세워주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
16,비트윈 더 시트,Between The Sheets,시트러스 사워,FALSE,2.3,2.9,0,1.9,2.9,0,0,0,social|cool|casual,"비트윈 더 시트는 오렌지 리큐르의 향과 레몬의 산미을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 레몬의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
17,칸찬차라,Canchanchara,시트러스 사워,FALSE,2.6,2.7,0,1.5,2.9,0,0,0,social|cool|casual,"칸찬차라는 라임의 산미와 꿀의 둥근 단맛이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
18,쿠바 리브레,Cuba Libre,리프레싱 하이볼,FALSE,3,2.4,0,0.7,4.4,0,1,0,lively|bright|spacious,"쿠바 리브레는 라임의 산미가 비교적 선명한 인상을 남기는 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
19,다이키리,Daiquiri,시트러스 사워,FALSE,2.6,3.1,0,1.6,3.1,0,0,0,social|cool|casual,"다이키리는 라임의 산미가 비교적 선명한 인상을 남기는 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
20,돈스 스페셜 다이키리,Dons Special Daiquiri,티키/트로피컬,FALSE,3.2,3.1,0,1.9,2.7,0,0,0,social|cool|casual,"돈스 스페셜 다이키리는 패션프루트 향과 라임의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
21,다크 앤 스토미,Dark N Stormy,리프레싱 하이볼,FALSE,2,0,0,0.7,4.1,0,2,0,social|bright|spacious,"다크 앤 스토미는 향신료의 따뜻한 느낌와 탄산의 가벼움을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 탄산의 가벼움가 먼저 열리고, 중간에서는 향신료가 온도를 올려주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
22,올드 쿠반,Old Cuban,스파클링,FALSE,2.7,2.8,2.1,1.6,3.7,0,0.5,0,lively|bright|spacious,"올드 쿠반은 탄산의 가벼움과 민트의 냉감을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 비터한 결이 구조를 세워주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 스파클링 계열처럼 첫인상은 가볍고 빠르게 열리지만, 베이스에 따라 캐릭터 차이가 난다.",,,
23,쓰리 닷츠 앳 어 대시,Three Dots And A Dash,티키/트로피컬,FALSE,3.1,1.3,2.2,2,1.9,0,2.1,0.6,social|modern|casual,"쓰리 닷츠 앳 어 대시는 향신료의 따뜻한 느낌와 오렌지 리큐르의 향이 먼저 기억에 남는 티키/트로피컬 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 입문자도 시도할 수 있지만 산미·쓴맛·향신료 중 어느 한 축에서 취향이 갈릴 가능성이 있다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
24,플랜터즈 펀치,Planters Punch,티키/트로피컬,FALSE,1.7,3.1,0,0.7,3.5,0,0,0,social|cool|casual,"플랜터즈 펀치는 라임의 산미가 비교적 선명한 인상을 남기는 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 티키 계열처럼 과일 향은 화려하지만, 뒤에서는 럼이나 향신료가 레이어를 만든다.",,,
25,피나 콜라다,Pina Colada,크리미,FALSE,3.3,0.9,0,2.3,1.7,2.9,0,0.7,cozy|warm|private,"피나 콜라다는 파인애플의 과일감와 크리미한 질감이 먼저 기억에 남는 크리미 칵테일이다. 입에 닿으면 파인애플의 단향가 먼저 열리고, 중간부터 질감이 한층 부드러워지고 피니시는 둥글고 부드럽게 남는다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 휴가 같은 무드를 만들고 싶거나, 음악이 있는 느슨한 모임에서 존재감이 좋다. 크리미 계열답게 향보다도 텍스처와 달콤한 여운이 인상을 오래 끈다.",,,
26,헤밍웨이 스페셜,Hemingway Special,시트러스 사워,FALSE,2.1,3.5,0.8,1.4,3.5,0,0,0,social|cool|casual,"헤밍웨이 스페셜은 자몽 특유의 상큼하고 살짝 쌉쌀한 결과 체리 계열 단향이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 럼가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
27,러시안 스프링 펀치,Russian Spring Punch,스파클링,FALSE,2.7,3.1,0,1.4,3.9,0,0,0,social|bright|spacious,"러시안 스프링 펀치는 레몬의 산미와 탄산의 가벼움이 먼저 기억에 남는 스파클링 칵테일이다. 입에 닿으면 레몬의 산미가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 스파클링 계열처럼 첫인상은 가볍고 빠르게 열리지만, 베이스에 따라 캐릭터 차이가 난다.",,,
28,레몬 드롭 마티니,Lemon Drop Martini,시트러스 사워,FALSE,2.3,3.1,0,1.5,3.1,0,0,0,social|cool|casual,"레몬 드롭 마티니는 오렌지 리큐르의 향과 레몬의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 레몬의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
29,모스코 뮬,Moscow Mule,리프레싱 하이볼,FALSE,2,2.4,0,0,4.4,0,2,0,lively|bright|spacious,"모스코 뮬은 향신료의 따뜻한 느낌와 탄산의 가벼움이 먼저 기억에 남는 리프레싱 하이볼 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 향신료가 온도를 올려주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 하이볼 계열처럼 길게 마셔도 피로감이 적고, 청량감이 전체 인상을 주도한다.",,,
30,블랙 러시안,Black Russian,커피/디저트,FALSE,2.5,0,0.8,1.7,0,0,0,0,cozy|warm|private,"블랙 러시안은 첫 향부터 에스프레소의 로스티한 향이 존재감을 만든다. 입에 닿으면 에스프레소의 로스티함가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식후에 디저트 대신 한 잔 고르거나, 늦은 밤 텐션을 살리고 싶을 때 잘 어울린다. 디저트 칵테일에 가까워서 질감과 향의 만족감이 중요하게 작동한다.",,,
31,블러디 메리,Bloody Mary,시트러스 사워,FALSE,0.9,2.8,0.5,0.9,2.8,0,2.5,0,social|cool|casual,"블러디 메리는 향신료의 따뜻한 느낌와 레몬의 산미을 앞세워 캐릭터를 만드는 스타일이다. 입에 닿으면 레몬의 산미가 먼저 열리고, 중간에서는 향신료가 온도를 올려주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
32,섹스 온 더 비치,Sex On The Beach,시트러스 사워,FALSE,2.6,2.8,0,1.2,3,0,0,0,social|cool|casual,"섹스 온 더 비치는 오렌지 리큐르의 향과 복숭아 향이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 보드카 향이 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
33,스파이시 피프티,Spicy Fifty,시트러스 사워,FALSE,3.5,2.8,0,1.9,2.8,0.7,2,0,cozy|bright|casual,"스파이시 피프티는 향신료의 따뜻한 느낌와 라임의 산미가 먼저 기억에 남는 시트러스 사워 칵테일이다. 입에 닿으면 라임의 산미가 먼저 열리고, 중간에서는 향신료가 온도를 올려주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
34,시 브리즈,Sea Breeze,시트러스 사워,FALSE,1.2,3.5,0.7,0,3.5,0,0,0,social|cool|casual,"시 브리즈는 첫 향부터 자몽 특유의 상큼하고 살짝 쌉쌀한 결이 존재감을 만든다. 입에 닿으면 자몽의 상큼함가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
35,에스프레소 마티니,Espresso Martini,커피/디저트,FALSE,3.3,0,1.9,1.9,0,0,0,0.6,cozy|warm|private,"에스프레소 마티니는 에스프레소의 로스티한 향이 비교적 선명한 인상을 남기는 칵테일이다. 입에 닿으면 에스프레소의 로스티함가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식후에 디저트 대신 한 잔 고르거나, 늦은 밤 텐션을 살리고 싶을 때 잘 어울린다. 디저트 칵테일에 가까워서 질감과 향의 만족감이 중요하게 작동한다.",,,
36,코스모폴리탄,Cosmopolitan,시트러스 사워,FALSE,2.2,3.5,0,1.3,3.7,0,0,0,social|cool|casual,"코스모폴리탄은 오렌지 리큐르의 향과 라임의 산미가 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 사워 계열답게 산미가 중심을 잡지만, 사용된 리큐르나 감미료에 따라 무게감이 달라진다.",,,
37,포르노스타 마티니,Porn Star Martini,스파클링,FALSE,3.3,2,0,1.8,2.7,0.7,0,0,social|bright|spacious,"포르노스타 마티니는 패션프루트 향과 탄산의 가벼움이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 탄산의 가벼움가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 스파클링 계열처럼 첫인상은 가볍고 빠르게 열리지만, 베이스에 따라 캐릭터 차이가 난다.",,,
38,프렌치 마티니,French Martini,과일계,FALSE,2.9,0.8,0,1.4,1.5,0,0,0,social|modern|casual,"프렌치 마티니는 파인애플의 과일감이 비교적 선명한 인상을 남기는 칵테일이다. 입에 닿으면 파인애플의 단향가 먼저 열리고, 중간에서는 보드카가 뼈대를 잡아주고 마무리는 무겁지 않게 떨어진다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 식전 한 잔이나 캐주얼한 모임에서 무난하게 꺼내기 좋은 스타일이다. 과일 중심 칵테일처럼 향이 직관적이고 접근성이 좋지만, 단맛의 질에 따라 표정이 달라진다.",,,
39,네그로니,Negroni,비터/허벌,FALSE,1.9,0,3.2,2,0,0,0,0,relaxing|dark|modern,"네그로니는 비터한 쌉쌀함과 허브 향이 먼저 기억에 남는 비터/허벌 칵테일이다. 입에 닿으면 진 향이 먼저 열리고, 중간에서는 비터한 결이 구조를 세워주고 끝에는 쌉쌀한 여운이 분명하게 남는다. 입문자도 시도할 수 있지만 산미·쓴맛·향신료 중 어느 한 축에서 취향이 갈릴 가능성이 있다. 시끄러운 자리보다는 조도를 낮춘 바에서 천천히 마실수록 매력이 살아난다. 아페리티보 계열처럼 단맛보다 허브·비터의 성격이 기억에 남는 스타일이다.",,,
40,라모스 피즈,Ramos Fizz,크리미,FALSE,2.5,2.5,0,2.4,3.1,2.9,0,0,lively|bright|spacious,"라모스 피즈는 크리미한 질감와 탄산의 가벼움이 전면에 서는 타입으로, 재료의 개성이 비교적 또렷하다. 입에 닿으면 라임의 산미가 먼저 열리고, 오렌지 리큐르가 가운데를 둥글게 묶어주고 마무리는 비교적 짧고 시원하게 정리된다. 전체 인상이 비교적 직관적이라 처음 마시는 사람도 접근하기 쉬운 편이다. 더운 날 첫 잔으로 분위기를 가볍게 열거나, 오래 대화하는 자리에서 특히 잘 맞는다. 크리미 계열답게 향보다도 텍스처와 달콤한 여운이 인상을 오래 끈다.",,,
